Product Name,Description,URL,Page Number,Cleaned Description
SCP Command to Transfer Files,How to Use SCP Command to Transfer Files/Folders in Linux,https://github.com/marketplace/actions/scp-command-to-transfer-files,4,use scp command transfer filesfolders linux
webfactory/ssh-agent,Run ssh-agent and load an SSH key to access other private repositories,https://github.com/marketplace/actions/webfactory-ssh-agent,4,run sshagent load ssh key access private repository
Automatic Pull Request,Bring your codebase alive,https://github.com/marketplace/actions/automatic-pull-request,4,bring codebase alive
Stelligent cfn_nag,Execute cfn_nag_scan against the code in the repository where the GitHub Action workflow is run,https://github.com/marketplace/actions/stelligent-cfn_nag,4,execute cfnnagscan code repository github action workflow run
setup-mkosi,Install mkosi,https://github.com/marketplace/actions/setup-mkosi,4,install mkosi
ssh deploy,NodeJS action for FAST deployment with rsync/ssh and remote script execution before/after rsync,https://github.com/marketplace/actions/ssh-deploy,4,nodejs action fast deployment rsyncssh remote script execution beforeafter rsync
rustup toolchain install,Install the Rust toolchain,https://github.com/marketplace/actions/rustup-toolchain-install,5,install rust toolchain
GitHub Push,Pushing to GitHub repository local changes,https://github.com/marketplace/actions/github-push,5,pushing github repository local change
Lighthouse CI Action,Audit URLs using Lighthouse and test performance with Lighthouse CI,https://github.com/marketplace/actions/lighthouse-ci-action,5,audit url using lighthouse test performance lighthouse ci
Repo Visualizer,A GitHub Action that creates an SVG diagram of your repo,https://github.com/marketplace/actions/repo-visualizer,5,github action creates svg diagram repo
GitHub-Profile-3D-Contrib,Generate profile 3D Contributions,https://github.com/marketplace/actions/github-profile-3d-contrib,5,generate profile contribution
Github Action for LaTeX,GitHub Action to compile LaTeX documents,https://github.com/marketplace/actions/github-action-for-latex,5,github action compile latex document
Add & Commit,Automatically commit changes made in your workflow run directly to your repo,https://github.com/marketplace/actions/add-commit,5,automatically commit change made workflow run directly repo
Docker Login,GitHub Action to login against a Docker registry,https://github.com/marketplace/actions/docker-login,5,github action login docker registry
Golangci-lint,"Official golangci-lint action with line-attached annotations for found issues, caching and parallel execution",https://github.com/marketplace/actions/golangci-lint,5,official golangcilint action lineattached annotation found issue caching parallel execution
Slack Notify,This action will send a notification to Slack,https://github.com/marketplace/actions/slack-notify,5,action send notification slack
Continuous Benchmark,Continuous Benchmark using GitHub pages as dash board for keeping performance,https://github.com/marketplace/actions/continuous-benchmark,5,continuous benchmark using github page dash board keeping performance
S3 Sync,Sync a directory to an AWS S3 repository,https://github.com/marketplace/actions/s3-sync,5,sync directory aws repository
semantic-pull-request,Ensure your PR title matches the Conventional Commits spec (https://www.conventionalcommits.org/),https://github.com/marketplace/actions/semantic-pull-request,5,ensure pr title match conventional commits spec httpswwwconventionalcommitsorg
Docker Setup Buildx,Set up Docker Buildx,https://github.com/marketplace/actions/docker-setup-buildx,5,set docker buildx
Slack: Send to Slack,"Send data to Slack to start a Slack workflow in Workflow Builder, call a Slack API method, or post a message into a channel",https://github.com/marketplace/actions/slack-send-to-slack,5,send data slack start slack workflow workflow builder call slack api method post message channel
Authenticate to Google Cloud,Authenticate to Google Cloud from GitHub Actions via Workload Identity Federation or service account keys,https://github.com/marketplace/actions/authenticate-to-google-cloud,5,authenticate google cloud github action via workload identity federation service account key
Android Emulator Runner,"Installs, configures and starts an Android Emulator directly on hardware-accelerated runners",https://github.com/marketplace/actions/android-emulator-runner,5,installs configures start android emulator directly hardwareaccelerated runner
Repository Dispatch,Create a repository dispatch event,https://github.com/marketplace/actions/repository-dispatch,5,create repository dispatch event
pypi-publish,Upload Python distribution packages to PyPI,https://github.com/marketplace/actions/pypi-publish,5,upload python distribution package pypi
Setup pnpm,Install pnpm package manager,https://github.com/marketplace/actions/setup-pnpm,5,install pnpm package manager
Check PHP syntax errors,Find php syntax errors,https://github.com/marketplace/actions/check-php-syntax-errors,6,find php syntax error
Deploy to Heroku,Deploy an app to Heroku,https://github.com/marketplace/actions/deploy-to-heroku,6,deploy app heroku
Setup .NET Core SDK,Used to build and publish .NET source. Set up a specific version of the .NET and authentication to private NuGet repository,https://github.com/marketplace/actions/setup-net-core-sdk,6,used build publish net source set specific version net authentication private nuget repository
Setup Sherif,"Setup and run Sherif, an opinionated, zero-config linter for JavaScript monorepos",https://github.com/marketplace/actions/setup-sherif,6,setup run sherif opinionated zeroconfig linter javascript monorepos
Docker Metadata action,"GitHub Action to extract metadata (tags, labels) for Docker",https://github.com/marketplace/actions/docker-metadata-action,6,github action extract metadata tag label docker
"Amazon ECR ""Login"" Action for GitHub Actions",Logs in the local Docker client to one or more Amazon ECR Private registries or an Amazon ECR Public registry,https://github.com/marketplace/actions/amazon-ecr-login-action-for-github-actions,6,log local docker client one amazon ecr private registry amazon ecr public registry
Cancel Workflow Action,This Action will cancel any previous runs that are not completed for a given workflow,https://github.com/marketplace/actions/cancel-workflow-action,6,action cancel previous run completed given workflow
GitHub Action for Firebase,Wraps the firebase-tools CLI to enable common commands,https://github.com/marketplace/actions/github-action-for-firebase,6,wrap firebasetools cli enable common command
Telegram Notify,Sending a Telegram message,https://github.com/marketplace/actions/telegram-notify,6,sending telegram message
Telegram Message Notify,Sending a Telegram message,https://github.com/marketplace/actions/telegram-message-notify,6,sending telegram message
GoReleaser Action,"GitHub Action for GoReleaser, a release automation tool for Go projects",https://github.com/marketplace/actions/goreleaser-action,6,github action goreleaser release automation tool go project
Test Reporter,"Shows test results in GitHub UI: .NET (xUnit, NUnit, MSTest), Dart, Flutter, Java (JUnit), JavaScript (JEST, Mocha)",https://github.com/marketplace/actions/test-reporter,6,show test result github ui net xunit nunit mstest dart flutter java junit javascript jest mocha
Unity - Builder,Build Unity projects for different platforms,https://github.com/marketplace/actions/unity-builder,6,build unity project different platform
Aqua Security Trivy,Scans container images for vulnerabilities with Trivy,https://github.com/marketplace/actions/aqua-security-trivy,6,scan container image vulnerability trivy
Merge pull requests (automerge-action),Automatically merge pull requests that are ready,https://github.com/marketplace/actions/merge-pull-requests-automerge-action,6,automatically merge pull request ready
Python Semantic Release,Automated Releases via SemVer and Commit Message Conventions,https://github.com/marketplace/actions/python-semantic-release,6,automated release via semver commit message convention
Expo GitHub Action,"Publish, build or manage your Expo app with GitHub Actions",https://github.com/marketplace/actions/expo-github-action,6,publish build manage expo app github action
"Setup Ruby, JRuby and TruffleRuby",Download a prebuilt Ruby and add it to the PATH in 5 seconds,https://github.com/marketplace/actions/setup-ruby-jruby-and-truffleruby,6,download prebuilt ruby add path second
GitHub - Activity - Readme,Updates README with the recent GitHub activity of a user,https://github.com/marketplace/actions/github-activity-readme,6,update readme recent github activity user
Upload Android Release to Play Store,An action to upload a signed Android release (.apk or .aab) to the Google Play Store Developer Console,https://github.com/marketplace/actions/upload-android-release-to-play-store,6,action upload signed android release apk aab google play store developer console
godot-ci,Docker image to export Godot Engine games. Templates for Gitlab CI/GitHub Actions deploy to GitLab/GitHub Pages or Itch.io,https://github.com/marketplace/actions/godot-ci,7,docker image export godot engine game template gitlab cigithub action deploy gitlabgithub page itchio
Lua LDoc,LDoc,https://github.com/marketplace/actions/lua-ldoc,7,ldoc
Github Tag Bump,Bump and push git tag on merge,https://github.com/marketplace/actions/github-tag-bump,7,bump push git tag merge
Legitify Analyze,Legitify GitHub Action,https://github.com/marketplace/actions/legitify-analyze,7,legitify github action
Publish Docker,Uses the git branch as the docker tag and pushes the container,https://github.com/marketplace/actions/publish-docker,7,us git branch docker tag push container
First interaction,Greet new contributors when they create their first issue or open their first pull request,https://github.com/marketplace/actions/first-interaction,7,greet new contributor create first issue open first pull request
On-demand self-hosted AWS EC2 runner for GitHub Actions,GitHub Action for automatic creation and registration AWS EC2 instance as a GitHub Actions self-hosted runner,https://github.com/marketplace/actions/on-demand-self-hosted-aws-ec2-runner-for-github-actions,7,github action automatic creation registration aws ec instance github action selfhosted runner
AI Code Review Action,Perform code reviews and comment on diffs using OpenAI API,https://github.com/marketplace/actions/ai-code-review-action,7,perform code review comment diffs using openai api
Release Changelog Builder,"A GitHub action that builds your release notes / changelog fast, easy and exactly the way you want",https://github.com/marketplace/actions/release-changelog-builder,7,github action build release note changelog fast easy exactly way want
Automatic Releases,"Automate the GitHub release process with assets, changelogs, pre-releases, and more",https://github.com/marketplace/actions/automatic-releases,7,automate github release process asset changelogs prereleases
Download workflow artifact,Download and extract an artifact associated with given workflow and commit or other criteria,https://github.com/marketplace/actions/download-workflow-artifact,7,download extract artifact associated given workflow commit criterion
Create or Update Comment,Create or update an issue or pull request comment,https://github.com/marketplace/actions/create-or-update-comment,7,create update issue pull request comment
swift-create-xcframework,Creates XCFramework bundles for the products in your Swift Package and uploads them as Artifacts you can attach to a release,https://github.com/marketplace/actions/swift-create-xcframework,7,creates xcframework bundle product swift package uploads artifact attach release
Deploy to Firebase Hosting,A GitHub Action to deploy to Firebase Hosting,https://github.com/marketplace/actions/deploy-to-firebase-hosting,7,github action deploy firebase hosting
Deploy GitHub Pages site,A GitHub Action to deploy an artifact as a GitHub Pages site,https://github.com/marketplace/actions/deploy-github-pages-site,7,github action deploy artifact github page site
Run on architecture,"Run commands in a Linux container with a specific CPU architecture (armv6, armv7, aarch64, s390x, ppc64le)",https://github.com/marketplace/actions/run-on-architecture,7,run command linux container specific cpu architecture armv armv aarch sx ppcle
"Twitter, together!","Collaborate on tweets just like you collaborate on code, using pull requests",https://github.com/marketplace/actions/twitter-together,7,collaborate tweet like collaborate code using pull request
Automatic Rebase,Automatically rebases PR on /rebase comment,https://github.com/marketplace/actions/automatic-rebase,7,automatically rebases pr rebase comment
Gradle Build Action,"Configures Gradle for GitHub actions, caching state and generating a dependency graph via Dependency Submission",https://github.com/marketplace/actions/gradle-build-action,7,configures gradle github action caching state generating dependency graph via dependency submission
Flank,Run Flank from Github actions,https://github.com/marketplace/actions/flank,7,run flank github action
Electron Builder Action,GitHub Action for building and releasing Electron apps,https://github.com/marketplace/actions/electron-builder-action,8,github action building releasing electron apps
Harden-Runner,Harden-Runner provides runtime security for GitHub-hosted and self-hosted runners,https://github.com/marketplace/actions/harden-runner,8,hardenrunner provides runtime security githubhosted selfhosted runner
TODO to Issue,Converts IDE TODO comments to GitHub issues,https://github.com/marketplace/actions/todo-to-issue,8,convert ide todo comment github issue
Gitee Pages Action,GitHub Action for Gitee Pages,https://github.com/marketplace/actions/gitee-pages-action,8,github action gitee page
"Amazon ECS ""Deploy Task Definition"" Action for GitHub Actions","Registers an Amazon ECS task definition, and deploys it to an ECS service",https://github.com/marketplace/actions/amazon-ecs-deploy-task-definition-action-for-github-actions,8,register amazon ec task definition deploys ec service
Serverless,Wraps the Serverless Frameork to enable common Serverless commands,https://github.com/marketplace/actions/serverless,8,wrap serverless frameork enable common serverless command
NPM or Yarn install with caching,Install npm dependencies with caching,https://github.com/marketplace/actions/npm-or-yarn-install-with-caching,8,install npm dependency caching
Vercel Action,This action make a deployment with github actions instead of Vercel builder,https://github.com/marketplace/actions/vercel-action,8,action make deployment github action instead vercel builder
GitHub Tag,Bump and push git tag on merge,https://github.com/marketplace/actions/github-tag,8,bump push git tag merge
Upload files to a GitHub release,Upload files to a GitHub release (cross-platform),https://github.com/marketplace/actions/upload-files-to-a-github-release,8,upload file github release crossplatform
Hub Mirror Action.,Mirror the organization repos between hub (github/gitee),https://github.com/marketplace/actions/hub-mirror-action,8,mirror organization repos hub githubgitee
rust-cargo,Run cargo command,https://github.com/marketplace/actions/rust-cargo,8,run cargo command
Dependency Review,Prevent the introduction of dependencies with known vulnerabilities,https://github.com/marketplace/actions/dependency-review,8,prevent introduction dependency known vulnerability
Publish Test Results,"Publishes JUnit, NUnit, XUnit, TRX, JSON test results on GitHub for .NET, Dart, Java, JS, Jest, Mocha, Python, Scala, …",https://github.com/marketplace/actions/publish-test-results,8,publishes junit nunit xunit trx json test result github net dart java j jest mocha python scala
mobsfscan,mobsfscan is a SAST that can find insecure code patterns in your Android and iOS source code,https://github.com/marketplace/actions/mobsfscan,8,mobsfscan sast find insecure code pattern android io source code
Connect Tailscale,Connect your GitHub Action workflow to Tailscale,https://github.com/marketplace/actions/connect-tailscale,8,connect github action workflow tailscale
Beanstalk Deploy,Deploy a zip file to AWS Elastic Beanstalk,https://github.com/marketplace/actions/beanstalk-deploy,8,deploy zip file aws elastic beanstalk
NPM Publish,"Fast, easy publishing to NPM",https://github.com/marketplace/actions/npm-publish,8,fast easy publishing npm
Bencher CLI,Installs the Bencher CLI for Continuous Benchmarking,https://github.com/marketplace/actions/bencher-cli,8,installs bencher cli continuous benchmarking
dbt-checkpoint,List of pre-commit hooks to ensure the quality of your dbt projects,https://github.com/marketplace/actions/dbt-checkpoint,8,list precommit hook ensure quality dbt project
Slash Command Dispatch,Facilitates ChatOps by creating dispatch events for slash commands,https://github.com/marketplace/actions/slash-command-dispatch,9,facilitates chatops creating dispatch event slash command
compressed-size-action,Get compressed size differences for every PR,https://github.com/marketplace/actions/compressed-size-action,9,get compressed size difference every pr
Install Poetry Action,Installs and configures Poetry,https://github.com/marketplace/actions/install-poetry-action,9,installs configures poetry
SonarQube Cloud Scan,Scan your code with SonarQube Cloud to detect coding issues in 30+ languages. (Formerly SonarCloud),https://github.com/marketplace/actions/sonarqube-cloud-scan,9,scan code sonarqube cloud detect coding issue language formerly sonarcloud
KiBot GitHub action,"automatically generates documentation, fabrication, etc. files for any KiCad project",https://github.com/marketplace/actions/kibot-github-action,9,automatically generates documentation fabrication etc file kicad project
action-slack,You can notify slack of GitHub Actions,https://github.com/marketplace/actions/action-slack,9,notify slack github action
rust-toolchain,Install the Rust toolchain,https://github.com/marketplace/actions/rust-toolchain,9,install rust toolchain
Lint Action,GitHub Action for detecting and fixing linting errors,https://github.com/marketplace/actions/lint-action,9,github action detecting fixing linting error
Helm Chart Releaser,Host a Helm charts repo on GitHub Pages,https://github.com/marketplace/actions/helm-chart-releaser,9,host helm chart repo github page
Install SSH Key,Install SSH key in ~/.ssh,https://github.com/marketplace/actions/install-ssh-key,9,install ssh key ssh
Add To GitHub projects,Automatically add issues and PRs to GitHub projects,https://github.com/marketplace/actions/add-to-github-projects,9,automatically add issue pr github project
Action For Semantic Release,GitHub Action for Semantic Release,https://github.com/marketplace/actions/action-for-semantic-release,9,github action semantic release
Pull request summarizer,"Write a comment about every commit in a pull request, every file diff, and summarize PR",https://github.com/marketplace/actions/pull-request-summarizer,9,write comment every commit pull request every file diff summarize pr
ChatGPT Integration,This action integrates ChatGPT into your CI,https://github.com/marketplace/actions/chatgpt-integration,9,action integrates chatgpt ci
WordPress Plugin Deploy,Deploy to the WordPress Plugin Repository,https://github.com/marketplace/actions/wordpress-plugin-deploy,9,deploy wordpress plugin repository
Install Nix,Installs Nix on GitHub Actions for the supported platforms: Linux and macOS,https://github.com/marketplace/actions/install-nix,9,installs nix github action supported platform linux macos
GitHub App token,Run a GitHub Action as a GitHub App instead of using secrets.GITHUB_TOKEN or a personal access token,https://github.com/marketplace/actions/github-app-token,9,run github action github app instead using secretsgithubtoken personal access token
Snyk,Check your applications for vulnerabilties using Snyk,https://github.com/marketplace/actions/snyk,9,check application vulnerabilties using snyk
Godot Export,Automatically exports your Godot games,https://github.com/marketplace/actions/godot-export,9,automatically export godot game
Generate & update markdown content,Automatically generate update markdown content like a README.md,https://github.com/marketplace/actions/generate-update-markdown-content,9,automatically generate update markdown content like readmemd
flawfinder_scan,Execute Flawfinder to scan source code for vulnerabilities,https://github.com/marketplace/actions/flawfinder_scan,10,execute flawfinder scan source code vulnerability
Go Release Binaries,Build and Release Go Binaries to GitHub Release Assets,https://github.com/marketplace/actions/go-release-binaries,10,build release go binary github release asset
Jest coverage report,Track your code coverage in each pull request,https://github.com/marketplace/actions/jest-coverage-report,10,track code coverage pull request
danger-kotlin,Stop saying you forgot to … in code review,https://github.com/marketplace/actions/danger-kotlin,10,stop saying forgot code review
productive-box,Are you an early 🐤 or a night 🦉? Let s check out in gist,https://github.com/marketplace/actions/productive-box,10,early night let check gist
Setup Bun,"Download, install, and setup Bun to your path",https://github.com/marketplace/actions/setup-bun,10,download install setup bun path
Install Qt,Install Qt on your Github Actions workflows with just one simple action,https://github.com/marketplace/actions/install-qt,10,install qt github action workflow one simple action
Deploy to Cloud Run,Use this action to deploy a container or source code to Google Cloud Run,https://github.com/marketplace/actions/deploy-to-cloud-run,10,use action deploy container source code google cloud run
Skip Duplicate Actions,Skip duplicate workflow runs. Skip or ignore specific paths. Cancel outdated workflow runs,https://github.com/marketplace/actions/skip-duplicate-actions,10,skip duplicate workflow run skip ignore specific path cancel outdated workflow run
Docker Setup QEMU,Install QEMU static binaries,https://github.com/marketplace/actions/docker-setup-qemu,10,install qemu static binary
Lighthouse Check,"GitHub Action for running one or multiple Lighthouse audits featuring PR comments, Slack notifications and more",https://github.com/marketplace/actions/lighthouse-check,10,github action running one multiple lighthouse audit featuring pr comment slack notification
Sticky Pull Request Comment,"Create comment on pull request, if exists update that comment",https://github.com/marketplace/actions/sticky-pull-request-comment,10,create comment pull request exists update comment
pre-commit,run pre-commit,https://github.com/marketplace/actions/pre-commit,10,run precommit
GitHub Action for DigitalOcean - doctl,Use doctl to manage your DigitalOcean resources,https://github.com/marketplace/actions/github-action-for-digitalocean-doctl,10,use doctl manage digitalocean resource
Send email,Send an email to multiple recipients,https://github.com/marketplace/actions/send-email,10,send email multiple recipient
Attest Build Provenance,Generate provenance attestations for build artifacts,https://github.com/marketplace/actions/attest-build-provenance,10,generate provenance attestation build artifact
